GEOID,flag_exclude_helen,flag_exclude_stephen,flag_exclude_FINAL,flag_exclude_FINAL_reason
36047057800,0,0,0,""
36047058900,0,0,0,""
36005020900,0,0,0,""
36005021001,0,0,0,""
36005022901,0,0,0,""
36061019100,0,0,0,""
36061011401,0,0,0,""
36005021200,0,0,0,""
36061011600,0,0,0,""
36061014602,0,0,0,""
36047037000,0,0,0,""
36047019900,0,0,0,""
36085019700,0,0,0,""
36085013400,0,0,0,""
36047040000,0,0,0,""
36047098200,0,0,0,""
36047082000,0,0,0,""
36047079801,0,0,0,""
36047019800,0,0,0,""
36081027700,0,0,0,""
36081045500,0,0,0,""
36081026100,0,0,0,""
36081013200,0,0,0,""
36081041400,0,0,0,""
36081066501,0,0,0,""
36005000200,0,0,0,""
36005002500,0,0,0,""
36047036900,0,0,0,""
36061029500,0,0,0,""
36061022102,0,0,0,""
36061021600,0,0,0,""
36047052900,0,0,0,""
36047056800,0,0,0,""
36047014900,0,0,0,""
36047015500,0,0,0,""
36047107800,0,0,0,""
36081060300,0,0,0,""
36061002700,0,0,0,""
36081073100,0,0,0,""
36081076902,0,0,0,""
36081102900,0,0,0,""
36081133300,0,0,0,""
36081021200,0,0,0,""
36081068300,0,0,0,""
36081091900,0,0,0,""
36081092500,0,0,0,""
36081052800,0,0,0,""
36081052400,0,0,0,""
36081053601,0,0,0,""
36005014702,0,0,0,""
36005018301,0,0,0,""
36005019500,0,0,0,""
36005019700,0,0,0,""
36061023502,0,0,0,""
36081015802,0,0,0,""
36047018700,0,0,0,""
36047044600,0,0,0,""
36047050500,0,0,0,""
36047005100,0,0,0,""
36047045800,0,0,0,""
36047046202,0,0,0,""
36047057400,0,0,0,""
36047000900,0,0,0,""
36081016100,0,0,0,""
36081018501,0,0,0,""
36047098400,0,0,0,""
36047098600,0,0,0,""
36047100600,0,0,0,""
36047029100,0,0,0,""
36047040300,0,0,0,""
36061004000,0,0,0,""
36005030200,0,0,0,""
36085021300,0,0,0,""
36005014500,0,0,0,""
36005022401,0,0,0,""
36005007600,0,0,0,""
36005008700,0,0,0,""
36047004100,0,0,0,""
36047039200,0,0,0,""
36047034300,0,0,0,""
36047072600,0,0,0,""
36047021000,0,0,0,""
36081047300,0,0,0,""
36047015200,0,0,0,""
36005040100,0,0,0,""
36047020200,0,0,0,""
36047020600,0,0,0,""
36005021302,0,0,0,""
36081155102,0,0,0,""
36047109800,0,0,0,""
36047038500,0,0,0,""
36047047700,0,0,0,""
36047048000,0,0,0,""
36081109900,0,0,0,""
36081054900,0,0,0,""
36081023500,0,0,0,""
36081016400,0,0,0,""
36081112900,0,0,0,""
36081115700,0,0,0,""
36047036502,0,0,0,""
36085015400,1,1,1,Population <= 20
36047018000,0,0,0,""
36047018300,0,0,0,""
36047074200,0,0,0,""
36047076400,0,0,0,""
36047001500,0,0,0,""
36081063200,0,0,0,""
36081063301,0,0,0,""
36081121100,1,1,1,Population <= 20
36081051200,0,0,0,""
36081049600,0,0,0,""
36081050202,0,0,0,""
36081065000,0,0,0,""
36061008100,0,0,0,""
36047024500,0,0,0,""
36047064800,0,0,0,""
36047055200,0,0,0,""
36081139900,0,0,0,""
36081000700,0,0,0,""
36005044800,0,0,0,""
36005044902,0,0,0,""
36047022600,0,0,0,""
36081085900,0,0,0,""
36081007700,0,0,0,""
36081010300,0,0,0,""
36061015400,0,0,0,""
36081019000,0,0,0,""
36081019400,0,0,0,""
36005035600,0,0,0,""
36081042700,0,0,0,""
36085029103,0,0,0,""
36061006400,0,0,0,""
36081122300,0,0,0,""
36061012900,0,0,0,""
36081990100,1,1,1,Population <= 20
36047019200,0,0,0,""
36081064500,0,0,0,""
36081061900,0,0,0,""
36061007800,0,0,0,""
36081100801,0,0,0,""
36005009800,0,0,0,""
36005018102,0,0,0,""
36061005900,0,0,0,""
36061004700,0,0,0,""
36061023100,0,0,0,""
36085011402,0,0,0,""
36085012500,0,0,0,""
36061015700,0,0,0,""
36081129103,0,0,0,""
36081099801,0,0,0,""
36047039500,0,0,0,""
36081103201,0,0,0,""
36047051601,0,0,0,""
36081045000,0,0,0,""
36081116700,0,0,0,""
36047023300,0,0,0,""
36047028300,0,0,0,""
36081029400,0,0,0,""
36005043100,0,0,0,""
36081074900,0,0,0,""
36061014000,0,0,0,""
36061015602,0,0,0,""
36061019300,0,0,0,""
36047069800,0,0,0,""
36047036002,0,0,0,""
36047051100,0,0,0,""
36047006700,0,0,0,""
36081145102,0,0,0,""
36061025900,0,0,0,""
36061017402,0,0,0,""
36081030903,0,0,0,""
36005042800,0,0,0,""
36061016900,0,0,0,""
36085009700,0,0,0,""
36047067000,0,0,0,""
36047100400,0,0,0,""
36047018400,0,0,0,""
36047022100,0,0,0,""
36061023801,0,0,0,""
36061024200,0,0,0,""
