"","GEOID","FIPS","Tract","County","NDI_score"
"1","36081036100","36081","Census Tract 361","Queens",0.733698221525927
"2","36081036300","36081","Census Tract 363","Queens",0.49541853036454
"3","36081037100","36081","Census Tract 371","Queens",-0.0951773831078193
"4","36081037700","36081","Census Tract 377","Queens",0.291357329820297
"5","36081037900","36081","Census Tract 379","Queens",0.382703544627163
"6","36081041300","36081","Census Tract 413","Queens",0.847947273900485
"7","36005020000","36005","Census Tract 200","Bronx",1.50105804424172
"8","36005020501","36005","Census Tract 205.01","Bronx",2.07179943942673
"9","36005020502","36005","Census Tract 205.02","Bronx",1.70217968346582
"10","36005020900","36005","Census Tract 209","Bronx",1.32923918925928
"11","36005021001","36005","Census Tract 210.01","Bronx",0.432759245137473
"12","36005021002","36005","Census Tract 210.02","Bronx",0.518421203043102
"13","36005021700","36005","Census Tract 217","Bronx",1.36766861470782
"14","36005022101","36005","Census Tract 221.01","Bronx",1.37313125414547
"15","36005022102","36005","Census Tract 221.02","Bronx",1.71634694909244
"16","36005022200","36005","Census Tract 222","Bronx",0.416969541843042
"17","36005023800","36005","Census Tract 238","Bronx",0.41577900741287
"18","36081046000","36081","Census Tract 460","Queens",0.338078703162703
"19","36081047900","36081","Census Tract 479","Queens",0.308190709196145
"20","36081050600","36081","Census Tract 506","Queens",0.143473628150068
"21","36081051100","36081","Census Tract 511","Queens",-0.884433149984443
"22","36081051700","36081","Census Tract 517","Queens",-0.41902019579366
"23","36081052200","36081","Census Tract 522","Queens",0.196225079407609
"24","36081053000","36081","Census Tract 530","Queens",-0.231599077579809
"25","36081053900","36081","Census Tract 539","Queens",-0.46933372262678
"26","36081054500","36081","Census Tract 545","Queens",0.202172658972926
"27","36081060100","36081","Census Tract 601","Queens",-0.169184293355895
"28","36081061200","36081","Census Tract 612","Queens",-0.402708980002416
"29","36081063000","36081","Census Tract 630","Queens",-0.653604960234465
"30","36081063700","36081","Census Tract 637","Queens",-0.59688048100164
"31","36081064600","36081","Census Tract 646","Queens",0.126212370804538
"32","36085022600","36085","Census Tract 226","Richmond",-1.00836289994316
"33","36085023100","36085","Census Tract 231","Richmond",0.207506754635562
"34","36085031902","36085","Census Tract 319.02","Richmond",1.22987816733279
"35","36085013201","36085","Census Tract 132.01","Richmond",-1.11417444546316
"36","36085014100","36085","Census Tract 141","Richmond",-0.40996648850833
"37","36085000600","36085","Census Tract 6","Richmond",-0.226922048402763
"38","36085001800","36085","Census Tract 18","Richmond",-1.25101157939831
"39","36085003300","36085","Census Tract 33","Richmond",-0.537949326931777
"40","36085007000","36085","Census Tract 70","Richmond",-0.601877043915503
"41","36085010500","36085","Census Tract 105","Richmond",-0.00184133637549166
"42","36085011201","36085","Census Tract 112.01","Richmond",-0.583041832891519
"43","36085015602","36085","Census Tract 156.02","Richmond",-1.03092258381038
"44","36085017700","36085","Census Tract 177","Richmond",-1.21103947971334
"45","36085027301","36085","Census Tract 273.01","Richmond",-0.557232504069305
"46","36085027704","36085","Census Tract 277.04","Richmond",-0.563185751121473
"47","36085032300","36085","Census Tract 323","Richmond",0.748148587057495
"48","36085004000","36085","Census Tract 40","Richmond",1.69029312694669
"49","36085012804","36085","Census Tract 128.04","Richmond",-0.609444526111995
"50","36085013302","36085","Census Tract 133.02","Richmond",0.882848201002091
"51","36085016901","36085","Census Tract 169.01","Richmond",-0.608870853050455
"52","36085017007","36085","Census Tract 170.07","Richmond",-0.713391517774997
"53","36085027302","36085","Census Tract 273.02","Richmond",-0.96531359936381
"54","36085027702","36085","Census Tract 277.02","Richmond",-0.437189459830498
"55","36085027900","36085","Census Tract 279","Richmond",-1.05857482900988
"56","36085030302","36085","Census Tract 303.02","Richmond",-0.0927338548069555
"57","36085014605","36085","Census Tract 146.05","Richmond",-0.971249606526413
"58","36085017008","36085","Census Tract 170.08","Richmond",-0.948375613338446
"59","36005016000","36005","Census Tract 160","Bronx",-0.238604291048157
"60","36005016200","36005","Census Tract 162","Bronx",-0.131940867338625
"61","36005016500","36005","Census Tract 165","Bronx",1.51558857918438
"62","36005017500","36005","Census Tract 175","Bronx",1.31520032052294
"63","36005021501","36005","Census Tract 215.01","Bronx",1.55131969182794
"64","36005021502","36005","Census Tract 215.02","Bronx",2.00518159317899
"65","36005023000","36005","Census Tract 230","Bronx",0.695621115986718
"66","36005025300","36005","Census Tract 253","Bronx",1.36120939498307
"67","36005026100","36005","Census Tract 261","Bronx",-0.601921284418517
"68","36005027900","36005","Census Tract 279","Bronx",0.0512154043129004
"69","36005030000","36005","Census Tract 300","Bronx",0.0873992076409456
"70","36005034000","36005","Census Tract 340","Bronx",0.924841363538436
"71","36005034400","36005","Census Tract 344","Bronx",0.144280066014168
"72","36005035000","36005","Census Tract 350","Bronx",0.268992014494062
"73","36005036100","36005","Census Tract 361","Bronx",2.20709787461364
"74","36005036501","36005","Census Tract 365.01","Bronx",1.74214766184633
"75","36081070700","36081","Census Tract 707","Queens",-1.27502017288882
"76","36081070900","36081","Census Tract 709","Queens",-0.896506055711725
"77","36081072900","36081","Census Tract 729","Queens",-0.926840702215132
"78","36081077500","36081","Census Tract 775","Queens",-1.11889603885481
"79","36081079200","36081","Census Tract 792","Queens",-0.13895150080864
"80","36081080301","36081","Census Tract 803.01","Queens",0.0454165783204143
"81","36061025500","36061","Census Tract 255","New York",-0.130544505082991
"82","36061022200","36061","Census Tract 222","New York",-0.130025149591584
