GEOID,flag_pop_lt20,flag_missing_var,nmiss,flag_exclude_reason
36085015400,1,1,26,Population <= 20
36081121100,1,1,26,Population <= 20
36061008602,1,1,26,Population <= 20
36047001100,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36081091800,1,1,9,Population <= 20
36005003700,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36081003700,1,1,26,Population <= 20
36081091602,1,1,26,Population <= 20
36047045000,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36081155101,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36061031900,1,1,26,Population <= 20
36061000100,1,1,26,Population <= 20
36047118000,1,1,26,Population <= 20
36047040700,1,1,26,Population <= 20
36005017100,1,1,26,Population <= 20
36047085200,0,1,5,"Population > 20, but feature missing for NDI or ToxPi Index"
36081038302,1,1,26,Population <= 20
36047096000,1,1,26,Population <= 20
36081024600,1,1,26,Population <= 20
36047015400,1,1,9,Population <= 20
36081060701,1,1,6,Population <= 20
36005016300,1,1,26,Population <= 20
36005031900,0,1,12,"Population > 20, but feature missing for NDI or ToxPi Index"
36061024000,0,1,13,"Population > 20, but feature missing for NDI or ToxPi Index"
36047066600,1,1,26,Population <= 20
36061009400,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36085002700,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36061021703,1,1,6,Population <= 20
36081138502,0,1,13,"Population > 20, but feature missing for NDI or ToxPi Index"
36061011300,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36081005000,0,1,2,"Population > 20, but feature missing for NDI or ToxPi Index"
36005024900,1,1,26,Population <= 20
36081038301,1,1,26,Population <= 20
36005027600,0,1,3,"Population > 20, but feature missing for NDI or ToxPi Index"
36061029700,0,1,18,"Population > 20, but feature missing for NDI or ToxPi Index"
36061031100,1,1,26,Population <= 20
36081017100,0,1,4,"Population > 20, but feature missing for NDI or ToxPi Index"
36005018101,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36081128300,1,1,26,Population <= 20
36047001800,0,1,18,"Population > 20, but feature missing for NDI or ToxPi Index"
36081042600,0,1,13,"Population > 20, but feature missing for NDI or ToxPi Index"
36047114201,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36047070202,1,1,5,Population <= 20
36005002400,0,1,4,"Population > 20, but feature missing for NDI or ToxPi Index"
36061009600,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36081071600,1,1,26,Population <= 20
36081064102,1,1,26,Population <= 20
36081022900,1,1,26,Population <= 20
36005028400,0,1,4,"Population > 20, but feature missing for NDI or ToxPi Index"
36081056100,1,1,4,Population <= 20
36047017500,1,1,26,Population <= 20
36081033100,1,1,26,Population <= 20
36081061302,1,1,26,Population <= 20
36081001900,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36085022800,0,1,3,"Population > 20, but feature missing for NDI or ToxPi Index"
36005050400,1,1,26,Population <= 20
36061010200,0,1,2,"Population > 20, but feature missing for NDI or ToxPi Index"
36047005201,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36061014300,1,1,17,Population <= 20
36081021900,1,1,26,Population <= 20
36005033400,1,1,6,Population <= 20
36081029900,1,1,26,Population <= 20
36081010701,1,1,26,Population <= 20
36005011000,1,1,26,Population <= 20
36061006200,0,1,1,"Population > 20, but feature missing for NDI or ToxPi Index"
36081065501,1,1,26,Population <= 20
36081107202,1,1,26,Population <= 20
36047017700,1,1,26,Population <= 20
