GEOID,prop_age_under18,prop_age_65plus,female_led_hh_prop,eng_lim_prop,usentry_2010_prop,forborn_prop,uscitizen_no_prop,disability_prop,single_parent_prop,publictrans_taxi_mcycle_bike_walk_prop,travel_time_work_minute,prop_living_alone,income1yr_median,poverty1yr_prop,service_manual_prop,gini_index,unemployment_prop,education_less_hs_prop,vehicle_avail_no_prop,pop_density,group_quarters_prop,occ_room_1_01plus_prop,age_structure_2019,str_units_1att_2plus_mobile_boat_rv_van_prop,str_units_20plus,move1yr_prop,str_vacancy_prop,pop,nmiss,flag_pop_lt20,flag_missing_var
36085015400,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36081121100,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36061008602,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36047001100,0.095,0.01,0.0160493827160494,0.00362581580855693,0.50462962962963,0.277929155313351,0.180517711171662,0.067,0.278571428571429,0.875215146299484,31110,0.375308641975309,142813,0.0715258855585831,0.0523648648648649,0.392,0.0607513988808953,0.00793021411578113,0.817555938037866,22563.4694459008,0,0.0641975308641975,,1,0.943293347873501,0.331452750352609,0.116684841875682,1468,1,0,1
36081091800,0,0.545,0,0,,0,0,0.727,,,,0.5,,0,,0.0152,,0.454545454545455,,25.2825726163368,0,0,,0,0,0,0,11,9,1,1
36005003700,0.072,0.044,0.0275862068965517,0.084,0,0.372,0.096,0.308,0.722222222222222,0.735537190082645,5615,0.558620689655172,,0.392,0.578512396694215,0.4482,0.1,0.349462365591398,0.628099173553719,3901.2190390907,0,0,58,0.917241379310345,0.848275862068966,0.016,0,250,1,0,1
36081003700,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36081091602,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36047045000,0.322,0.11,0,0.00936329588014981,0.159090909090909,0.201413427561837,0.0265017667844523,0.069,0,0.68936170212766,7320,0.252941176470588,,0.353356890459364,0.254166666666667,0.5348,0,0.115254237288136,0.28936170212766,6710.91956798114,0,0.223529411764706,77,0.481283422459893,0.0641711229946524,0.0547703180212014,0.0909090909090909,566,1,0,1
36081155101,0,0.922,0,0.00341102899374645,0,0.110289937464468,0,0.43,,0.410138248847926,9970,0.677566539923954,55313,0.134735645252985,0.0706319702602231,0.5401,0,0.0142126208072769,0,9588.14745304137,0,0,45,0.98,0.968125,0.0210346787947698,0.178125,1759,1,0,1
